Dish_ID,Dish_name,Price,Warm,Category_ID,dish_description,dish_type,main_dish_type
1,Sushi Roll 1,13.37,False,2,Fusion-style sushi roll with unique ingredients 1,fish,sushi
2,Sushi Roll 2,13.83,False,2,Fusion-style sushi roll with unique ingredients 2,fish,sushi
3,Sushi Roll 3,8.23,False,2,Fusion-style sushi roll with unique ingredients 3,fish,sushi
4,Sushi Roll 4,11.46,False,2,Fusion-style sushi roll with unique ingredients 4,fish,sushi
5,Sushi Roll 5,9.54,False,2,Fusion-style sushi roll with unique ingredients 5,vegetarian,sushi
6,Sushi Roll 6,12.61,False,2,Fusion-style sushi roll with unique ingredients 6,fish,sushi
7,Sushi Roll 7,10.45,False,2,Fusion-style sushi roll with unique ingredients 7,fish,sushi
8,Sushi Roll 8,9.37,False,2,Fusion-style sushi roll with unique ingredients 8,vegetarian,sushi
9,Sushi Roll 9,9.46,False,2,Fusion-style sushi roll with unique ingredients 9,vegetarian,sushi
10,Sushi Roll 10,13.78,False,2,Fusion-style sushi roll with unique ingredients 0,vegetarian,sushi
11,Sushi Roll 11,9.92,False,2,Fusion-style sushi roll with unique ingredients 1,vegetarian,sushi
12,Sushi Roll 12,8.72,False,2,Fusion-style sushi roll with unique ingredients 2,fish,sushi
13,Sushi Roll 13,11.29,False,2,Fusion-style sushi roll with unique ingredients 3,fish,sushi
14,Sushi Roll 14,12.9,False,2,Fusion-style sushi roll with unique ingredients 4,fish,sushi
15,Sushi Roll 15,9.15,False,2,Fusion-style sushi roll with unique ingredients 5,fish,sushi
16,Sushi Roll 16,8.45,False,2,Fusion-style sushi roll with unique ingredients 6,vegetarian,sushi
17,Sushi Roll 17,7.92,False,2,Fusion-style sushi roll with unique ingredients 7,fish,sushi
18,Sushi Roll 18,9.68,False,2,Fusion-style sushi roll with unique ingredients 8,vegetarian,sushi
19,Sushi Roll 19,8.53,False,2,Fusion-style sushi roll with unique ingredients 9,fish,sushi
20,Sushi Roll 20,8.23,False,2,Fusion-style sushi roll with unique ingredients 0,vegetarian,sushi
21,Red Thai Curry,13.07,True,2,Red Thai Curry – Asian fusion main dish,meat,rice
22,Green Thai Curry,15.29,True,2,Green Thai Curry – Asian fusion main dish,vegan,rice
23,Pho Bo,11.18,True,2,Pho Bo – Asian fusion main dish,meat,soup
